timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733045800640,212,GET joke,200,,api.chucknorris 1-2,text,true,,1500,132,2,2,https://api.chucknorris.io/jokes/random,212,0,111
1733045800640,335,GET joke,200,,api.chucknorris 1-1,text,true,,1449,132,2,2,https://api.chucknorris.io/jokes/random,335,0,116
1733045800854,213,GET joke,200,,api.chucknorris 1-2,text,true,,1400,132,2,2,https://api.chucknorris.io/jokes/random,213,0,111
1733045800976,216,GET joke,200,,api.chucknorris 1-1,text,true,,1419,132,2,2,https://api.chucknorris.io/jokes/random,215,0,111
1733045801069,208,GET joke,200,,api.chucknorris 1-2,text,true,,1389,132,2,2,https://api.chucknorris.io/jokes/random,208,0,109
1733045801193,206,GET joke,200,,api.chucknorris 1-1,text,true,,1486,132,2,2,https://api.chucknorris.io/jokes/random,206,0,108
1733045801279,214,GET joke,200,,api.chucknorris 1-2,text,true,,1551,132,2,2,https://api.chucknorris.io/jokes/random,214,0,112
1733045801400,218,GET joke,200,,api.chucknorris 1-1,text,true,,1423,132,2,2,https://api.chucknorris.io/jokes/random,217,0,108
1733045801495,215,GET joke,200,,api.chucknorris 1-2,text,true,,1463,132,2,2,https://api.chucknorris.io/jokes/random,215,0,106
1733045801712,215,GET joke,200,,api.chucknorris 1-2,text,true,,1501,132,2,2,https://api.chucknorris.io/jokes/random,214,0,112
1733045801622,307,GET joke,200,,api.chucknorris 1-1,text,true,,1584,132,2,2,https://api.chucknorris.io/jokes/random,307,0,156
1733045801928,208,GET joke,200,,api.chucknorris 1-2,text,true,,1535,132,2,2,https://api.chucknorris.io/jokes/random,208,0,109
1733045801931,341,GET joke,200,,api.chucknorris 1-1,text,true,,1434,132,2,2,https://api.chucknorris.io/jokes/random,341,0,124
1733045802137,217,GET joke,200,,api.chucknorris 1-2,text,true,,1432,132,2,2,https://api.chucknorris.io/jokes/random,217,0,110
1733045802274,212,GET joke,200,,api.chucknorris 1-1,text,true,,1436,132,2,2,https://api.chucknorris.io/jokes/random,212,0,109
1733045802356,210,GET joke,200,,api.chucknorris 1-2,text,true,,1428,132,2,2,https://api.chucknorris.io/jokes/random,210,0,113
1733045802488,238,GET joke,200,,api.chucknorris 1-1,text,true,,1383,132,2,2,https://api.chucknorris.io/jokes/random,238,0,110
1733045802568,208,GET joke,200,,api.chucknorris 1-2,text,true,,1464,132,2,2,https://api.chucknorris.io/jokes/random,207,0,108
1733045802727,211,GET joke,200,,api.chucknorris 1-1,text,true,,1446,132,2,2,https://api.chucknorris.io/jokes/random,210,0,107
1733045802777,213,GET joke,200,,api.chucknorris 1-2,text,true,,1464,132,2,2,https://api.chucknorris.io/jokes/random,213,0,108
1733045802939,226,GET joke,200,,api.chucknorris 1-1,text,true,,1418,132,2,2,https://api.chucknorris.io/jokes/random,226,0,109
1733045802992,212,GET joke,200,,api.chucknorris 1-2,text,true,,1475,132,2,2,https://api.chucknorris.io/jokes/random,211,0,108
1733045803167,208,GET joke,200,,api.chucknorris 1-1,text,true,,1455,132,2,2,https://api.chucknorris.io/jokes/random,208,0,106
1733045803205,209,GET joke,200,,api.chucknorris 1-2,text,true,,1524,132,2,2,https://api.chucknorris.io/jokes/random,208,0,109
1733045803377,210,GET joke,200,,api.chucknorris 1-1,text,true,,1447,132,2,2,https://api.chucknorris.io/jokes/random,209,0,110
1733045803415,318,GET joke,200,,api.chucknorris 1-2,text,true,,1426,132,2,2,https://api.chucknorris.io/jokes/random,318,0,111
1733045803589,204,GET joke,200,,api.chucknorris 1-1,text,true,,1445,132,2,2,https://api.chucknorris.io/jokes/random,203,0,105
1733045803735,221,GET joke,200,,api.chucknorris 1-2,text,true,,1474,132,2,2,https://api.chucknorris.io/jokes/random,220,0,106
1733045803795,201,GET joke,200,,api.chucknorris 1-1,text,true,,1390,132,2,2,https://api.chucknorris.io/jokes/random,200,0,104
1733045803958,235,GET joke,200,,api.chucknorris 1-2,text,true,,1431,132,2,2,https://api.chucknorris.io/jokes/random,234,0,108
1733045803997,283,GET joke,200,,api.chucknorris 1-1,text,true,,1444,132,2,2,https://api.chucknorris.io/jokes/random,283,0,134
1733045804195,203,GET joke,200,,api.chucknorris 1-2,text,true,,1408,132,2,2,https://api.chucknorris.io/jokes/random,202,0,105
1733045804281,221,GET joke,200,,api.chucknorris 1-1,text,true,,1464,132,2,2,https://api.chucknorris.io/jokes/random,221,0,118
1733045804399,209,GET joke,200,,api.chucknorris 1-2,text,true,,1397,132,2,2,https://api.chucknorris.io/jokes/random,209,0,109
1733045804503,206,GET joke,200,,api.chucknorris 1-1,text,true,,1466,132,2,2,https://api.chucknorris.io/jokes/random,206,0,110
1733045804610,209,GET joke,200,,api.chucknorris 1-2,text,true,,1476,132,2,2,https://api.chucknorris.io/jokes/random,209,0,108
1733045804711,215,GET joke,200,,api.chucknorris 1-1,text,true,,1402,132,2,2,https://api.chucknorris.io/jokes/random,215,0,115
1733045804821,215,GET joke,200,,api.chucknorris 1-2,text,true,,1490,132,2,2,https://api.chucknorris.io/jokes/random,215,0,109
1733045804928,212,GET joke,200,,api.chucknorris 1-1,text,true,,1483,132,2,2,https://api.chucknorris.io/jokes/random,212,0,109
1733045805038,221,GET joke,200,,api.chucknorris 1-2,text,true,,1466,132,2,2,https://api.chucknorris.io/jokes/random,221,0,112
1733045805142,225,GET joke,200,,api.chucknorris 1-1,text,true,,1425,132,2,2,https://api.chucknorris.io/jokes/random,225,0,123
1733045805261,214,GET joke,200,,api.chucknorris 1-2,text,true,,1397,132,2,2,https://api.chucknorris.io/jokes/random,213,0,108
1733045805368,214,GET joke,200,,api.chucknorris 1-1,text,true,,1402,132,2,2,https://api.chucknorris.io/jokes/random,214,0,108
1733045805476,222,GET joke,200,,api.chucknorris 1-2,text,true,,1448,132,2,2,https://api.chucknorris.io/jokes/random,222,0,111
1733045805584,214,GET joke,200,,api.chucknorris 1-1,text,true,,1434,132,2,2,https://api.chucknorris.io/jokes/random,214,0,113
1733045805699,217,GET joke,200,,api.chucknorris 1-2,text,true,,1401,132,2,2,https://api.chucknorris.io/jokes/random,217,0,116
1733045805808,256,GET joke,200,,api.chucknorris 1-1,text,true,,1458,132,2,2,https://api.chucknorris.io/jokes/random,256,0,150
1733045805918,207,GET joke,200,,api.chucknorris 1-2,text,true,,1398,132,2,2,https://api.chucknorris.io/jokes/random,207,0,108
1733045806065,214,GET joke,200,,api.chucknorris 1-1,text,true,,1415,132,2,2,https://api.chucknorris.io/jokes/random,213,0,109
1733045806127,208,GET joke,200,,api.chucknorris 1-2,text,true,,1537,132,2,2,https://api.chucknorris.io/jokes/random,207,0,106
1733045806280,214,GET joke,200,,api.chucknorris 1-1,text,true,,1397,132,2,2,https://api.chucknorris.io/jokes/random,214,0,110
1733045806336,220,GET joke,200,,api.chucknorris 1-2,text,true,,1403,132,2,2,https://api.chucknorris.io/jokes/random,220,0,114
